Start Date (Time Zone: America / Denver),End Date (Time Zone: America / Denver),IP Address,Duration (in seconds),Response ID,RandNum_ID,Location Latitude,Location Longitude,Gender,Age,Education,Work Experience,Race,Race_Other_Text,Kevin_Kelly,What is the salary increase that [] asked for?,How did [] start the conversation?,What was Sean's reasoning for denying []'s request?,"On a scale of 1-10, how aggressive do you feel [] was being in that meeting?","On a scale of 1-10, how aggressive do you feel Sean was being in that meeting?",Did you feel that []'s actions were driven more by internal factors or by external factors?,Did you feel that Sean's actions were driven more by internal factors or by external factors?,Timing - Page Submit
4/2/21 12:27,4/2/21 12:29,76.221.209.152,84,R_1fd4oNd17PImSwu,8284876,42.29670715,-85.20659637,Non-binary / third gender,30-44 years old,Associate degree in college (2-year),6-10 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,5,External factors,Internal factors,55.101
4/2/21 12:26,4/2/21 12:29,67.172.97.10,164,R_1BXfreVEV33t7EK,8255540,36.00480652,-86.78859711,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,7,External factors,External factors,125.727
4/2/21 12:27,4/2/21 12:30,102.68.141.46,229,R_2YXrJIJN5sFjHXu,3401408,-1.284103394,36.81550598,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,9,External factors,Internal factors,187.072
4/2/21 12:30,4/2/21 12:32,174.204.81.34,118,R_eS7WAqGlqGkSw6J,5326036,47.61369324,-122.3103943,Female,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,External factors,83.691
4/2/21 12:29,4/2/21 12:32,70.233.177.136,202,R_UGWH7dQ55vLxEVX,1434043,33.53849792,-82.14080048,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,"Black or African American,Asian",,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,Internal factors,Internal factors,170.397
4/2/21 12:32,4/2/21 12:33,47.196.28.10,68,R_2xMjSC784mXwzPr,2612873,27.80439758,-82.27590179,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,7,Internal factors,Internal factors,47.06
4/2/21 12:36,4/2/21 12:38,24.144.38.162,100,R_2Soi7OxxmGxUqAQ,5484506,35.08120728,-92.47219849,Male,45-59 years old,Associate degree in college (2-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,6,Internal factors,External factors,58.561
4/2/21 12:45,4/2/21 12:50,108.12.241.18,273,R_3QLUqvjFClcpJiK,2439572,41.65280151,-71.46970367,Male,30-44 years old,Doctoral degree,11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,1,Internal factors,External factors,193.186
4/2/21 12:42,4/2/21 12:50,24.253.4.189,520,R_RCx7n77LYsrv5rr,5713552,36.32249451,-115.2910995,Male,18-29 years old,High school graduate (high school diploma or equivalent including GED),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,4,External factors,External factors,149.281
4/2/21 12:52,4/2/21 12:53,208.221.40.89,54,R_3ikeMtvCA4JGIpa,1367940,41.31480408,-72.69940186,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,6,7,Internal factors,Internal factors,37.634
4/2/21 12:49,4/2/21 12:55,74.64.8.49,382,R_2QxMyfgK7Wq8DJr,7548086,40.69470215,-73.73739624,Female,30-44 years old,Bachelor's degree in college (4-year),3-5 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,5,Internal factors,External factors,316.115
4/2/21 12:55,4/2/21 12:59,98.237.71.209,265,R_ZluXylD84bbzRux,6506546,40.25840759,-75.98329926,Male,18-29 years old,Associate degree in college (2-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,2,External factors,Internal factors,175.425
4/2/21 12:58,4/2/21 13:00,185.232.22.209,72,R_wME2XaSwvwQjpf3,2269241,40.71569824,-74,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,8,10,Internal factors,External factors,13.165
4/2/21 13:01,4/2/21 13:07,72.52.87.174,338,R_3PjmRC3090KGTpe,3814092,37.5625,-122.0003967,Male,30-44 years old,Master's degree,16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,9,Internal factors,Internal factors,281.766
4/2/21 13:06,4/2/21 13:07,75.83.84.2,85,R_2zCHqLQcb9zWHg2,2747635,34.14729309,-118.8343964,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,3,Internal factors,External factors,70.592
4/2/21 13:03,4/2/21 13:11,73.10.164.6,519,R_e9uyECaE1msJv0t,6772447,40.59159851,-74.31790161,Female,30-44 years old,Master's degree,1-2 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,8,Internal factors,Internal factors,317.166
4/2/21 13:07,4/2/21 13:15,41.220.235.164,454,R_3g1uKZYCh8sEysi,7140661,-20.28329468,57.55000305,Male,30-44 years old,Master's degree,6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,4,Internal factors,Internal factors,403.302
4/2/21 13:18,4/2/21 13:18,24.227.182.202,36,R_12tFK3PTEW6z4WQ,2411311,31.74319458,-106.3671036,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,9,7,Internal factors,Internal factors,15.797
4/2/21 13:20,4/2/21 13:21,99.155.202.109,82,R_1hQ4fG0hPkagZ4c,8292539,33.15550232,-96.49810028,Female,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,9,External factors,Internal factors,66.905
4/2/21 13:24,4/2/21 13:28,98.199.113.33,242,R_1pWmxkRKP0AM4n9,4278275,29.73880005,-95.8309021,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,5,External factors,Internal factors,214.671
4/2/21 13:26,4/2/21 13:32,97.116.143.218,372,R_2v63I6lyL0nXjWM,3237634,45.01960754,-93.24019623,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,1,Internal factors,Internal factors,283.779
4/2/21 13:32,4/2/21 13:33,217.138.255.189,86,R_2V1kvZaSrT6XSZc,5069683,40.71569824,-74,Female,45-59 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recognized the entire team for their support,Does not have the budget for salary increases,8,10,Internal factors,External factors,18.965
4/2/21 13:41,4/2/21 13:43,75.53.177.68,125,R_vcyL1YDNw8uWh6F,8839180,37.67520142,-120.9465027,Female,60+ years old,Bachelor's degree in college (4-year),21+ years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,3,Internal factors,Internal factors,98.326
4/2/21 13:45,4/2/21 13:46,68.49.228.245,59,R_2UVqCqKUkGYp3V4,8148842,42.64259338,-84.52210236,Non-binary / third gender,30-44 years old,Doctoral degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,3,Internal factors,External factors,40.822
4/2/21 14:17,4/2/21 14:17,71.223.161.219,55,R_3OkmHW2bptChHvC,5511000,33.49169922,-111.9837036,Male,18-29 years old,Associate degree in college (2-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,5,Internal factors,Internal factors,40.191
4/2/21 14:26,4/2/21 14:28,143.44.71.113,138,R_2WBYS2UrgzkVPLa,9760002,44.2769928,-88.40110016,Female,18-29 years old,High school graduate (high school diploma or equivalent including GED),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,1,Internal factors,External factors,116.999
4/2/21 14:24,4/2/21 14:34,217.138.208.148,602,R_33vhthpZd0NVbme,7833412,40.71569824,-74,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,8,Internal factors,Internal factors,431.106
4/2/21 14:38,4/2/21 14:39,98.249.238.28,89,R_eKCPCvAPUhcWBeF,1851757,26.06199646,-80.33679962,Male,18-29 years old,Bachelor's degree in college (4-year),1-2 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,External factors,External factors,32.649
4/2/21 14:39,4/2/21 14:40,71.64.8.187,43,R_2azTD2opATPGI9j,9347195,41.27789307,-84.35780334,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kelly,15%,Recognized the entire team for their support,Strict company policy on timing of salary increases,7,9,External factors,Internal factors,11.618
4/2/21 14:36,4/2/21 14:41,63.75.255.228,289,R_xnhLyD88Ca7dwaZ,4947983,39.61019897,-75.67469788,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,External factors,253.208
4/2/21 15:15,4/2/21 15:18,104.54.70.91,164,R_2cuXwD1echQWrlD,6045782,29.94749451,-81.52639771,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,5,Internal factors,External factors,131.358
4/2/21 15:36,4/2/21 15:37,72.226.86.184,41,R_6u2lfjxDwjD6LT3,6217327,40.74119568,-73.92230225,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,0,Internal factors,Internal factors,29.808
4/2/21 15:31,4/2/21 15:38,172.111.198.87,407,R_qPye1kmalxMuBYB,9442843,33.97200012,-118.2420044,Female,30-44 years old,Bachelor's degree in college (4-year),16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,4,External factors,Internal factors,256.606
4/2/21 15:47,4/2/21 15:50,65.19.166.250,152,R_ZxV39czOfDHHCHT,7853803,34.05839539,-118.2779999,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,5,External factors,Internal factors,127.327
4/2/21 15:57,4/2/21 15:58,73.182.71.237,66,R_2frHBerAjrX2TPu,1652990,31.99479675,-81.23349762,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,6,Internal factors,Internal factors,47.462
4/2/21 16:28,4/2/21 16:31,104.7.224.89,134,R_2QixFYMNv7srxCH,2463521,28.62519836,-80.84609985,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,5,Internal factors,External factors,111.768
4/2/21 16:28,4/2/21 16:32,141.155.141.84,255,R_10pXydw6GYUmq57,9505048,40.86219788,-73.89019775,Male,18-29 years old,Master's degree,3-5 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,Internal factors,External factors,186.358
4/2/21 16:32,4/2/21 16:40,196.17.67.95,478,R_3rTz7x7gHxxDWaJ,5568278,34.05439758,-118.2440033,Female,30-44 years old,Master's degree,6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,7,5,Internal factors,Internal factors,348.276
4/2/21 16:35,4/2/21 16:42,197.237.175.154,396,R_eJbBSL1mLUtGWWZ,1495033,-1.284103394,36.81550598,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,10,Internal factors,Internal factors,310.043
4/2/21 16:55,4/2/21 17:01,69.30.162.102,372,R_3lYU5nAp6ADxcdm,9805646,38.62480164,-83.80699921,Female,45-59 years old,Associate degree in college (2-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,7,Internal factors,Internal factors,266.481
4/2/21 17:11,4/2/21 17:17,108.201.80.239,317,R_OARCb7uMrkdMo25,4126389,38.68890381,-121.2263031,Male,60+ years old,Associate degree in college (2-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,6,External factors,Internal factors,259.928
4/2/21 17:35,4/2/21 17:36,76.21.80.49,53,R_2f9YwZPp76w7QPs,7145406,38.26699829,-122.0439987,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),1-2 years,Asian,,Kelly,15%,Got straight to [his/her] request,Does not have the budget for salary increases,6,6,Internal factors,Internal factors,37.588
4/2/21 17:38,4/2/21 17:41,68.34.181.236,203,R_3COhphBJIdcD5yo,8571777,36.75090027,-83.02079773,Male,45-59 years old,High school graduate (high school diploma or equivalent including GED),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,0,Internal factors,External factors,149.301
4/2/21 17:44,4/2/21 17:47,73.66.33.240,153,R_3erkX3zEYdYGhP7,4633089,38.6282959,-121.3307037,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,External factors,External factors,108.1
4/2/21 17:53,4/2/21 17:55,174.87.42.222,118,R_1ltbOWuCb9F72S6,8208399,33.07870483,-83.23760223,Female,18-29 years old,High school graduate (high school diploma or equivalent including GED),3-5 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,7,Internal factors,External factors,89.907
4/2/21 17:59,4/2/21 18:00,50.232.250.35,93,R_2BxQBcD8CEGoFyc,6942682,45.00010681,-93.09860229,Prefer not to say,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,9,External factors,Internal factors,68.129
4/2/21 18:22,4/2/21 18:25,168.245.180.163,179,R_2ScLPVYSXkv8rDi,5016178,41.40229797,-83.47360229,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,External factors,133.948
4/2/21 18:51,4/2/21 18:56,185.242.5.99,309,R_1Cydpp49K7IXLsH,5360684,37.75100708,-97.8219986,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,10,Internal factors,External factors,275.131
4/2/21 19:00,4/2/21 19:02,68.198.118.66,115,R_2f0UVp2JNjzTt5c,7944984,40.84379578,-73.88130188,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,4,Internal factors,External factors,87.355
4/2/21 19:13,4/2/21 19:15,172.107.168.196,127,R_31GwLfNtxQ9khLj,2596351,32.81370544,-96.87039948,Female,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,9,9,Internal factors,Internal factors,95.437
4/2/21 19:16,4/2/21 19:17,50.91.35.65,85,R_2b1aM0QNnVjnczL,5781913,35.38780212,-118.9360046,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,4,Internal factors,Internal factors,59.092
4/2/21 19:16,4/2/21 19:18,154.29.131.197,121,R_2SIZEIRU3Dd09GX,3400028,32.77670288,-96.80500031,Male,45-59 years old,Master's degree,16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,5,External factors,Internal factors,91.727
4/2/21 19:18,4/2/21 19:19,172.107.168.196,41,R_25SzJ8pc1SP46ie,6388674,32.81370544,-96.87039948,Female,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,8,9,Internal factors,Internal factors,22.545
4/2/21 20:19,4/2/21 20:22,71.201.81.13,190,R_1Q4mFk5bG40Vyhf,1097460,41.97779846,-88.20179749,Female,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,5,Internal factors,External factors,139.992
4/2/21 20:20,4/2/21 20:27,75.134.104.161,393,R_3MlMAIbYLQ8vvId,2440828,42.27890015,-85.69039917,Female,30-44 years old,Bachelor's degree in college (4-year),16-20 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,External factors,External factors,358.909
4/2/21 20:31,4/2/21 20:35,69.137.76.125,212,R_3NOF7On41tzu6tR,3962602,35.84370422,-86.38809967,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,3,Internal factors,Internal factors,93.378
4/2/21 20:37,4/2/21 20:43,98.113.98.246,329,R_2CsvfiPQJsBydv1,7851382,40.84309387,-73.28089905,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,6,External factors,Internal factors,279.849
4/2/21 20:41,4/2/21 20:44,174.55.146.72,161,R_29mqvS2ih8Vp15P,4745495,39.95170593,-76.70639801,Male,18-29 years old,High school graduate (high school diploma or equivalent including GED),1-2 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,2,External factors,External factors,134.509
4/2/21 21:06,4/2/21 21:11,72.239.220.54,338,R_3KoptkkB5xrXXlZ,3859648,29.13830566,-80.99559784,Female,45-59 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,4,Internal factors,Internal factors,269.49
4/2/21 21:03,4/2/21 21:24,212.102.47.87,1280,R_9Y7IVO0CzO494EV,1479810,47.61439514,-122.344696,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,2,Internal factors,External factors,133.142
4/2/21 21:38,4/2/21 21:40,108.220.21.4,84,R_3rUvPURm1L7RPbp,2340256,31.80450439,-105.9661026,Male,45-59 years old,Master's degree,6-10 years,White,,Kelly,15%,Recognized the entire team for their support,[]'s performance doesn't warrant a raise,8,6,Internal factors,External factors,20.295
4/2/21 21:54,4/2/21 21:56,12.160.225.48,110,R_2Pv6ieZ2DuITYiW,9325016,34.05439758,-118.2440033,Female,45-59 years old,Master's degree,21+ years,White,,Kelly,15%,Recognized the entire team for their support,[]'s performance doesn't warrant a raise,7,9,Internal factors,External factors,54.508
4/2/21 21:49,4/2/21 21:56,72.106.178.206,413,R_3hbwRcRio0KpbPG,4674275,37.90620422,-77.63410187,Female,60+ years old,Associate degree in college (2-year),16-20 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,8,Internal factors,External factors,264.114
4/2/21 22:21,4/2/21 22:24,69.137.152.83,158,R_2qqtx7Rit3c0KCz,7667294,39.25140381,-76.79789734,Female,18-29 years old,Associate degree in college (2-year),0 years (No work experience),White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,Internal factors,Internal factors,129.346
4/2/21 22:23,4/2/21 22:24,66.8.195.56,79,R_2t5KifjOTPF6R7D,3646046,19.58929443,-154.9925995,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,10,Internal factors,External factors,60.713
4/2/21 22:24,4/2/21 22:41,63.75.255.229,991,R_1LeeU6peJYKY4zP,3288423,39.61019897,-75.67469788,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,5,6,External factors,Internal factors,71.815
4/2/21 23:01,4/2/21 23:11,63.75.248.83,648,R_29bTxBv9znquUXG,1138027,39.61019897,-75.67469788,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,7,Internal factors,External factors,517.559
4/2/21 23:43,4/2/21 23:45,64.121.102.112,88,R_1BPicZxEilq8Y8b,2541170,40.58850098,-75.46420288,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,1,Internal factors,External factors,66.909
4/2/21 23:41,4/2/21 23:46,63.75.251.73,314,R_2QyNmCPPg2TIMTI,5952722,39.61019897,-75.67469788,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recognized the entire team for their support,Strict company policy on timing of salary increases,7,9,External factors,Internal factors,161.325
4/2/21 23:49,4/2/21 23:57,192.158.228.67,511,R_1OOyRGBw3MDryxb,2284439,36.10079956,-115.1364975,Female,18-29 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,8,External factors,Internal factors,451.844
4/3/21 0:06,4/3/21 0:10,50.231.89.131,276,R_1LkfAjRKjYO2d9d,7426225,33.89830017,-84.58930206,Female,30-44 years old,Master's degree,11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,Internal factors,254.143
4/3/21 0:26,4/3/21 0:27,24.113.232.44,81,R_b1S1D5tiGnKzyTL,8226936,47.53289795,-122.580101,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,Other,/,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,External factors,External factors,64.116
4/3/21 0:27,4/3/21 0:31,97.113.115.235,210,R_2WUTRZHziuHxiU8,8564454,47.53640747,-122.2779999,Female,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,Internal factors,External factors,173.273
4/3/21 0:36,4/3/21 0:41,73.148.53.254,280,R_2cu707eN3iHi23E,1795641,36.68829346,-79.86849976,Female,45-59 years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,6,External factors,Internal factors,239.088
4/3/21 0:42,4/3/21 0:44,108.185.146.83,125,R_3KvC1xCZJi0O86y,5419423,34.04699707,-118.2750015,Female,45-59 years old,Associate degree in college (2-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,Internal factors,External factors,90.417
4/3/21 0:44,4/3/21 0:50,63.75.249.55,351,R_TincBvLQ4uNfPbz,2669296,39.61019897,-75.67469788,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,7,Internal factors,Internal factors,321.034
4/3/21 1:06,4/3/21 1:13,102.166.123.219,412,R_NWiskERY2VHcABX,1323250,-1.284103394,36.81550598,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,10,External factors,Internal factors,331.325
4/3/21 1:30,4/3/21 1:32,208.203.212.165,135,R_1Qbyia1XvkyabS8,5621904,39.98449707,-75.58599854,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,8,Internal factors,External factors,81.573
4/3/21 1:35,4/3/21 1:40,98.199.147.192,294,R_1eXlm5eH9edpKVF,2795446,29.57200623,-95.54000092,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,3,External factors,Internal factors,252.741
4/3/21 2:33,4/3/21 2:35,63.160.142.225,107,R_3nctncntATsXV5C,6654657,37.75100708,-97.8219986,Female,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,8,Internal factors,Internal factors,81.478
4/3/21 3:16,4/3/21 3:19,73.114.127.58,183,R_1gNjokoSfYm1tp0,5995828,42.88479614,-73.19100189,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,3,External factors,External factors,149.953
4/3/21 3:23,4/3/21 3:25,154.21.20.148,142,R_ePXtdDHfmTkAeVH,8196996,47.30659485,-122.2619019,Male,45-59 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,3,Internal factors,Internal factors,86.103
4/3/21 3:59,4/3/21 4:00,174.87.96.77,85,R_2VKNWjHI578gipG,1389092,40.54820251,-122.3367004,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recognized the entire team for their support,[]'s performance doesn't warrant a raise,7,8,Internal factors,Internal factors,48.461
4/3/21 4:11,4/3/21 4:12,108.65.124.61,61,R_2tA7TbHPT7oZlvz,4775804,28.45379639,-81.4673996,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,5,Internal factors,External factors,48.941
4/3/21 4:59,4/3/21 5:01,73.7.126.229,122,R_1hGsek5rb3ORD65,1439970,33.6026001,-84.47689819,Male,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Got straight to [his/her] request,Does not have the budget for salary increases,8,7,Internal factors,Internal factors,63.664
4/3/21 5:11,4/3/21 5:12,67.240.54.169,88,R_e2MR1KdxtMX0Fup,6440363,42.72729492,-73.66960144,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,4,Internal factors,External factors,43.727
4/3/21 5:55,4/3/21 6:02,69.51.96.206,430,R_cBlLhEwo24En8Dn,5780960,46.36790466,-112.023201,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,10,Internal factors,External factors,369.535
4/3/21 7:19,4/3/21 7:20,71.63.47.189,77,R_2PcL8EXIuxJeXyO,7886896,37.33920288,-77.41750336,Female,45-59 years old,Associate degree in college (2-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,6,External factors,External factors,46.342
